GEOID,scenario_order,scenario,annual_rate,income_threshold,unaffordable_hh,total_hh_weighted,sum_bracket_hh,mhi,pct_unaffordable,mhi_pct_spent,mhi_unaffordable
06029003807,1,Current,247.13,9885.199999999999,39.54475447544554,1083.9999999999452,1083.9999999999452,98864,3.648040080760843,0.24996965528402654,FALSE
06029003807,2,FY 26/27,475,19000,83.40688137627103,1083.9999999999452,1083.9999999999452,98864,7.6943617505788975,0.4804580029130927,FALSE
06029003807,3,FY 27/28,575,23000,100.40168033606213,1083.9999999999452,1083.9999999999452,98864,9.262147632478525,0.5816070561579544,FALSE
06029003807,4,FY 28/29,675,27000,122.8033606721282,1083.9999999999452,1083.9999999999452,98864,11.328723309237493,0.682756109402816,FALSE
06029003807,5,FY 29/30,775,31000,157.00180036006407,1083.9999999999452,1083.9999999999452,98864,14.48356091882583,0.7839051626476776,FALSE
06029003807,6,FY 30/31,875,35000,192.99999999999022,1083.9999999999452,1083.9999999999452,98864,17.804428044280442,0.8850542158925393,FALSE
06029000800,1,Current,247.13,9885.199999999999,79.07876483846366,1558.7882137403205,1558.7882137403205,73179,5.073092299608408,0.3377061725358368,FALSE
06029000800,2,FY 26/27,475,19000,180.37837329496537,1558.7882137403205,1558.7882137403205,73179,11.571704976017653,0.649093319121606,FALSE
06029000800,3,FY 27/28,575,23000,254.77954696440764,1558.7882137403205,1558.7882137403205,73179,16.344718590927933,0.7857445441998387,FALSE
06029000800,4,FY 28/29,675,27000,335.9611556747769,1558.7882137403205,1558.7882137403205,73179,21.552713364995,0.9223957692780717,FALSE
06029000800,5,FY 29/30,775,31000,394.7479275052798,1558.7882137403205,1558.7882137403205,73179,25.32402567748957,1.0590469943563043,FALSE
06029000800,6,FY 30/31,875,35000,425.94212896303816,1558.7882137403205,1558.7882137403205,73179,27.325208466966,1.1956982194345374,FALSE
06029001101,1,Current,247.13,9885.199999999999,84.03260326034982,1656.0000000004688,1656.0000000004688,29136,5.074432564029349,0.8481946732564525,FALSE
06029001101,2,FY 26/27,475,19000,307.81216243257364,1656.0000000004688,1656.0000000004688,29136,18.58769096814532,1.6302855573860515,FALSE
06029001101,3,FY 27/28,575,23000,531.8417683538212,1656.0000000004688,1656.0000000004688,29136,32.11604881362745,1.9735035694673257,FALSE
06029001101,4,FY 28/29,675,27000,741.4140828167731,1656.0000000004688,1656.0000000004688,29136,44.7713818125944,2.3167215815485998,FALSE
06029001101,5,FY 29/30,775,31000,890.008601720596,1656.0000000004688,1656.0000000004688,29136,53.74448078021401,2.6599395936298738,TRUE
06029001101,6,FY 30/31,875,35000,1062.0000000003006,1656.0000000004688,1656.0000000004688,29136,64.13043478260869,3.0031576057111478,TRUE
06029002811,1,Current,247.13,9885.199999999999,40.53337333734223,1420.0000000002979,1420.0000000002979,172083,2.8544629110798403,0.1436109319340086,FALSE
06029002811,2,FY 26/27,475,19000,102.40768153632875,1420.0000000002979,1420.0000000002979,172083,7.2118085588948775,0.27602959037208785,FALSE
06029002811,3,FY 27/28,575,23000,112.0000000000235,1420.0000000002979,1420.0000000002979,172083,7.887323943661972,0.33414108308200113,FALSE
06029002811,4,FY 28/29,675,27000,117.2010402080662,1420.0000000002979,1420.0000000002979,172083,8.253594380848002,0.39225257579191436,FALSE
06029002811,5,FY 29/30,775,31000,126.40028005603773,1420.0000000002979,1420.0000000002979,172083,8.901428172958536,0.45036406850182764,FALSE
06029002811,6,FY 30/31,875,35000,132.0000000000277,1420.0000000002979,1420.0000000002979,172083,9.295774647887326,0.5084755612117409,FALSE
