scenario,annual_rate,income_threshold,scenario_order,n_tracts,total_hh,unaffordable_hh,pct_unaffordable,tracts_mhi_unaffordable,hh_in_mhi_unaffordable_tracts
Current,247.13,9885.199999999999,1,133,140089.2835955209,6218.260753687472,4.438784034074602,0,0
FY 26/27,475,19000,2,133,140089.2835955209,16433.512038790475,11.73074172199986,2,2301.9999999998536
FY 27/28,575,23000,3,133,140089.2835955209,20311.455911717483,14.498936242948213,2,2301.9999999998536
FY 28/29,675,27000,4,133,140089.2835955209,24798.552000262676,17.701962179964756,3,3805.0000000002624
FY 29/30,775,31000,5,133,140089.2835955209,29548.76113514052,21.092806228102727,9,8892.807907268016
FY 30/31,875,35000,6,133,140089.2835955209,33731.86566261659,24.078833724362845,13,12325.634450325073
